name,score,evaluate,meta,url,cover_url
Python核心编程（第二版）,7.7,1455,"[美]WesleyJ.Chun（陳仲才）,CPUG,人民邮电出版社,2008-06,89.00元",https://book.douban.com/subject/3112503/,https://img3.doubanio.com/view/subject/l/public/s3140466.jpg
Python网络数据采集,7.7,273,"米切尔(RyanMitchell),陶俊杰,陈小莉,人民邮电出版社,2016-3-1,CNY59.00",https://book.douban.com/subject/26740503/,https://img1.doubanio.com/view/subject/l/public/s29086659.jpg
Python编程实战 : 运用设计模式、并发和程序库创建高质量程序,7.7,57,"[美]MarkSummerfield,爱飞翔,机械工业出版社,2014-8,69.00元",https://book.douban.com/subject/25955274/,https://img3.doubanio.com/view/subject/l/public/s27397566.jpg
PYTHON技术手册,7.7,133,"马特利,东南大学出版社,2006-11,78.00元",https://book.douban.com/subject/2005622/,https://img1.doubanio.com/view/subject/l/public/s3395418.jpg
Python高级编程（第二版）,7.7,11,"[波兰]MichałJaworski,[法]TarekZiadé,张亮,阿信,人民邮电出版社,2017-9-19,89.00元",https://book.douban.com/subject/27133480/,https://img1.doubanio.com/view/subject/l/public/s29537289.jpg
Python语言在Abaqus中的应用,7.7,11,"曹金凤,王旭春,孔亮,机械工业出版社,2011-8-1,48.00元",https://book.douban.com/subject/6791897/,https://img3.doubanio.com/view/subject/l/public/s28683486.jpg
大型多人在线游戏开发,7.7,71,"亚历山大,史晓明,人民邮电出版社,2006-12,59.00元",https://book.douban.com/subject/1940567/,https://img1.doubanio.com/view/subject/l/public/s24444597.jpg
python绝技：运用python成为顶级黑客 : 运用Python成为顶级黑客,7.6,44,"[美]TJO'Connor,崔孝晨,武晓音,电子工业出版社,2016-1,79.00元",https://book.douban.com/subject/26702570/,https://img1.doubanio.com/view/subject/l/public/s28385338.jpg
Python高级编程,7.6,227,"TarekZiadé,姚军,夏海轮,译,人民邮电出版社,2010-1,45.00元",https://book.douban.com/subject/4212921/,https://img3.doubanio.com/view/subject/l/public/s4163751.jpg
Python金融大数据分析,7.6,75,"[德]伊夫·希尔皮斯科,姚军,人民邮电出版社,2015-12,CNY99.00",https://book.douban.com/subject/26670241/,https://img3.doubanio.com/view/subject/l/public/s28358933.jpg
机器学习系统设计,7.6,84,"[德]WilliRichert,LuisPedroCoelho,刘峰,人民邮电出版社,2014-7-1,CNY49.00",https://book.douban.com/subject/25899625/,https://img3.doubanio.com/view/subject/l/public/s27296520.jpg
Python数据挖掘入门与实践,7.6,30,"[澳]RobertLayton,杜春晓,人民邮电出版社,2016-7,59.00元",https://book.douban.com/subject/26826540/,https://img3.doubanio.com/view/subject/l/public/s28850686.jpg
数据结构与算法：Python语言描述,7.6,55,"裘宗燕,机械工业出版社,2016-1,CNY45.00",https://book.douban.com/subject/26702568/,https://img3.doubanio.com/view/subject/l/public/s28388882.jpg
Python语言程序设计 : （英文版）,7.6,16,"（美）Y.DanielLiang,机械工业出版社,2013-3,79.00元",https://book.douban.com/subject/21622482/,https://img3.doubanio.com/view/subject/l/public/s25802261.jpg
Python 2.1宝典,7.6,13,"(美)DavaBrueckStephenTanner,陈河南,王晓娟,等,电子工业出版社,2002-01-01,59.00",https://book.douban.com/subject/1240608/,https://img1.doubanio.com/view/subject/l/public/s1494529.jpg
零基础学Python,7.6,25,"张志强,赵越,机械工业出版社,2015-2,CNY79.00",https://book.douban.com/subject/26414709/,https://img3.doubanio.com/view/subject/l/public/s28097326.jpg
量化交易之路 : 用Python做股票量化分析,7.6,24,"阿布,机械工业出版社,2017-9-1,CNY89.00",https://book.douban.com/subject/27149594/,https://img3.doubanio.com/view/subject/l/public/s29554731.jpg
复杂性思考,7.6,80,"AllenB.Downey,张龙,机械工业出版社,2013-5,49.00元",https://book.douban.com/subject/24530461/,https://img3.doubanio.com/view/subject/l/public/s26523313.jpg
Spark机器学习,7.6,68,"彭特里思(NickPentreath),蔡立宇,黄章帅,周济民,人民邮电出版社,2015-9-1,CNY59.00",https://book.douban.com/subject/26593179/,https://img3.doubanio.com/view/subject/l/public/s28323081.jpg
奔跑吧Ansible,7.6,37,"LorinHochstein,陈尔冬,电子工业出版社,2016-1,79.00",https://book.douban.com/subject/26699570/,https://img3.doubanio.com/view/subject/l/public/s28382936.jpg
软件开发成功路线图,7.6,15,"埃尔森马迪瑟,初悦欣,亢江妹,机械工业出版社,2010-3,45.00元",https://book.douban.com/subject/4722716/,https://img3.doubanio.com/view/subject/l/public/s6150814.jpg
NLP汉语自然语言处理原理与实践,7.6,12,"郑捷,电子工业出版社,2017-1-1,CNY98.00",https://book.douban.com/subject/26977414/,https://img3.doubanio.com/view/subject/l/public/s29351315.jpg
Python灰帽子 : 黑客与逆向工程师的Python编程之道,7.5,181,"[美]JustinSeitz,丁赟卿译,崔孝晨审校,电子工业出版社,2011-3,39.00元",https://book.douban.com/subject/6025284/,https://img3.doubanio.com/view/subject/l/public/s4676930.jpg
Python UNIX和Linux系统管理指南,7.5,169,"基弗特(Gift,Noab),琼斯(Jones,JeremyM.),杨明华,谭励,机械工业出版社,2009-9,65.00元",https://book.douban.com/subject/4031965/,https://img3.doubanio.com/view/subject/l/public/s6072862.jpg
python黑帽子 : 黑客与渗透测试编程之道,7.5,52,"[美]JustinSeitz,孙松柏,李聪,润秋,电子工业出版社,2015-8-1,55",https://book.douban.com/subject/26590145/,https://img3.doubanio.com/view/subject/l/public/s28274231.jpg
Python计算机视觉编程,7.5,35,"[瑞典]JanErikSolem,朱文涛,袁勇,人民邮电出版社,2014-6-10,69.00",https://book.douban.com/subject/25906843/,https://img3.doubanio.com/view/subject/l/public/s27305520.jpg
真实世界的Python仪器监控 : 数据采集与控制系统自动化,7.5,25,"约翰·休斯,OBPGroup,电子工业出版社,2013-1,89.00元",https://book.douban.com/subject/20773481/,https://img3.doubanio.com/view/subject/l/public/s26599004.jpg
数据科学导论 : Python语言实现,7.5,10,"阿尔贝托·博斯凯蒂,于俊伟,机械工业出版社,2016-8-10,CNY49.00",https://book.douban.com/subject/26901472/,https://img3.doubanio.com/view/subject/l/public/s29318903.jpg
用Python学编程,7.5,10,"(美)AlanGauld,清华大学出版社,2002-9,32.00元",https://book.douban.com/subject/1100899/,https://img1.doubanio.com/view/subject/l/public/s9770078.jpg
写给程序员的数据挖掘实践指南,7.5,51,"[美]RonZacharski,王斌,人民邮电出版社,2015-10-24,59.00",https://book.douban.com/subject/26652166/,https://img3.doubanio.com/view/subject/l/public/s28327724.jpg
贝叶斯思维 : 统计建模的Python学习法,7.4,68,"[美]AllenB.Downey（艾伦·唐尼）,许杨毅,人民邮电出版社,2015-3,49.00",https://book.douban.com/subject/26340992/,https://img3.doubanio.com/view/subject/l/public/s28023092.jpg
可爱的Python,7.4,719,"哲思社区,电子工业出版社,2009-9,55.00元",https://book.douban.com/subject/3884108/,https://img1.doubanio.com/view/subject/l/public/s3901817.jpg
Python语言入门,7.4,239,"[美]MarkLutz,DavidAscber,陈革,冯大辉,中国电力出版社,2001-4,55.00元",https://book.douban.com/subject/1239501/,https://img3.doubanio.com/view/subject/l/public/s1318070.jpg
Python参考手册（第4版）,7.4,156,"DavidM.Beazley,谢俊,杨越,高伟,人民邮电出版社,2010-12,89.00元",https://book.douban.com/subject/5401851/,https://img3.doubanio.com/view/subject/l/public/s4568752.jpg
编写高质量代码：改善Python程序的91个建议,7.4,301,"张颖,赖勇浩,机械工业出版社,2014-6,59.00元",https://book.douban.com/subject/25910544/,https://img3.doubanio.com/view/subject/l/public/s27308066.jpg
OpenCV 3计算机视觉：Python语言实现（原书第2版） : Python语言实现,7.4,23,"JoeMinichino,刘波,苗贝贝,史斌,机械工业出版社,2016-6,49",https://book.douban.com/subject/26816975/,https://img3.doubanio.com/view/subject/l/public/s28902360.jpg
树莓派Python编程指南,7.4,13,"AlexBradbury,BenEverard,王文峰,机械工业出版社,2015-1-16,59",https://book.douban.com/subject/26327820/,https://img1.doubanio.com/view/subject/l/public/s28009848.jpg
Python核心编程,7.4,43,",杨涛,机械工业出版社,2001-8-1,75.00元",https://book.douban.com/subject/1240249/,https://img3.doubanio.com/view/subject/l/public/s1497381.jpg
Python数据可视化编程实战,7.4,22,"IgorMilovanovic,颛清山,人民邮电出版社,2015-5-1,49.00元",https://book.douban.com/subject/26378430/,https://img3.doubanio.com/view/subject/l/public/s28060713.jpg
Python高性能编程,7.4,10,"【美】戈雷利克（MichaGorelick）,【美】欧日沃尔德（IanOzsvald）,人民邮电出版社,2017-7-1,79",https://book.douban.com/subject/27064848/,https://img3.doubanio.com/view/subject/l/public/s29470644.jpg
21天学通Python,7.4,10,"刘凌霞,郝宁波,吴海涛,电子工业出版社,2016-1,59.80元",https://book.douban.com/subject/26689173/,https://img3.doubanio.com/view/subject/l/public/s28364565.jpg
python入门经典,7.4,11,"KatieCunningham,李军,李强,人民邮电出版社,2014-10-1,39",https://book.douban.com/subject/26378143/,https://img3.doubanio.com/view/subject/l/public/s28060440.jpg
Python Web开发实战,7.3,138,"董伟明,电子工业出版社,2016-9-15,105",https://book.douban.com/subject/26852057/,https://img1.doubanio.com/view/subject/l/public/s28994368.jpg
用Python写网络爬虫,7.3,122,"[澳]理查德劳森,李斌,人民邮电出版社,2016-8-1,CNY45.00",https://book.douban.com/subject/26869992/,https://img1.doubanio.com/view/subject/l/public/s29088958.jpg
Python在Unix和Linux系统管理中的应用,7.3,20,"开明出版社,2009-4,64.00元",https://book.douban.com/subject/3767034/,https://img3.doubanio.com/view/subject/l/public/s3876423.jpg
大数据技术丛书 : Storm分布式实时计算模式,7.3,17,"吉奥兹(P.TaylorGoetz),奥尼尔(BrianO'Neill),董昭,机械工业出版社,2015-1-1,CNY59.00",https://book.douban.com/subject/26312249/,https://img3.doubanio.com/view/subject/l/public/s28042751.jpg
Python网络编程基础 : 使用Python构建网络程序的综合指南,7.2,294,"JohnGoerzen,莫迟等,电子工业出版社,2007,68.00元",https://book.douban.com/subject/2152386/,https://img3.doubanio.com/view/subject/l/public/s2604186.jpg
Python计算与编程实践 : Python计算与编程实践·多媒体方法,7.2,23,"（美）MarkGuzdial,（美）BarbaraEricson,王江平,机械工业出版社,2012-7,69.00元",https://book.douban.com/subject/10829316/,https://img3.doubanio.com/view/subject/l/public/s10458143.jpg
爱上Python : 一日精通Python编程,7.2,23,"[新加坡]JamieChan,王磊,人民邮电出版社,2016-6,39.00元",https://book.douban.com/subject/26807339/,https://img1.doubanio.com/view/subject/l/public/s28807549.jpg
Python自然语言处理,7.2,46,"(美)StevenBirdEwanKleinEdwardLoper,张旭,崔阳,刘海平,人民邮电出版社,2014-6-25,89.00",https://book.douban.com/subject/25916599/,https://img3.doubanio.com/view/subject/l/public/s27313176.jpg
易学Python,7.2,15,"AnthonyBriggs,王威,袁国忠,人民邮电出版社,2014-4,45.00元",https://book.douban.com/subject/25850261/,https://img3.doubanio.com/view/subject/l/public/s27389591.jpg
"从零开始学 Python
[豆瓣阅读作品]",7.2,32,"杨兵,2016-08-15,9.90元",https://read.douban.com/ebook/22129325/?dcs=book-search,https://img3.doubanio.com/view/ark_article_cover/retina/public/22129325.jpg?v=1469267484.0
Python编程实践,7.1,92,"JenniferCampbell,PaulGries,JasonMontojo,GregWilson,唐学韬,机械工业出版社华章公司,2011-12-31,49.00元",https://book.douban.com/subject/7059900/,https://img3.doubanio.com/view/subject/l/public/s7015911.jpg
Python编程入门（第3版）,7.1,99,"[加]TobyDonaldson,袁国忠,人民邮电出版社,2013-11,39.00",https://book.douban.com/subject/25773122/,https://img1.doubanio.com/view/subject/l/public/s27142477.jpg
