name,score,evaluate,meta,url,cover_url
Programming Computer Vision with Python : Tools and algorithms for analyzing images,8.4,18,"JanErikSolem,O'ReillyMedia,2012-6-22,USD39.99",https://book.douban.com/subject/10574101/,https://img3.doubanio.com/view/subject/l/public/s9040411.jpg
"Python Crash Course : A Hands-On, Project-Based Introduction to Programming",8.4,31,"EricMatthes,NoStarchPress,2015-11-1,USD39.95",https://book.douban.com/subject/26284937/,https://img3.doubanio.com/view/subject/l/public/s29606835.jpg
Introduction to Computation and Programming Using Python,8.4,16,"JohnV.Guttag,TheMITPress,2013-1-18,USD25.00",https://book.douban.com/subject/20437815/,https://img1.doubanio.com/view/subject/l/public/s26845957.jpg
Making Games with Python & Pygame,8.4,13,"AlSweigart,CreateSpaceIndependentPublishingPlatform,2012-1-12,USD25.01",https://book.douban.com/subject/10518867/,https://img3.doubanio.com/view/subject/l/public/s10909294.jpg
算法图解,8.4,431,"[美]AdityaBhargava,袁国忠,人民邮电出版社,2017-3,49.00元",https://book.douban.com/subject/26979890/,https://img3.doubanio.com/view/subject/l/public/s29358625.jpg
贝叶斯方法 : 概率编程与贝叶斯推断,8.4,23,"[加]CameronDavidson-Pilon,辛愿,钟黎,欧阳婷,人民邮电出版社,2017-1-1,59.00元",https://book.douban.com/subject/26929874/,https://img1.doubanio.com/view/subject/l/public/s29200427.jpg
Pro Django,8.4,44,"MartyAlchin,Apress,2008-11-24,USD49.99",https://book.douban.com/subject/3086812/,https://img1.doubanio.com/view/subject/l/public/s4244189.jpg
Two Scoops of Django : Best Practices For Django 1.5,8.4,37,"DanielGreenfeld,AudreyM.Roy,CreateSpaceIndependentPublishingPlatform,2013-4-16,USD29.95",https://book.douban.com/subject/24246865/,https://img3.doubanio.com/view/subject/l/public/s27190405.jpg
Think Bayes,8.4,23,"AllenB.Downey,O'ReillyMedia,2013-10-4,USD29.99",https://book.douban.com/subject/25723956/,https://img3.doubanio.com/view/subject/l/public/s27067191.jpg
"Practical Django Projects, Second Edition",8.4,13,"JamesBennett,Apress,2009,44.99",https://book.douban.com/subject/3817202/,https://img3.doubanio.com/view/subject/l/public/s3853835.jpg
Deep Learning with Keras,8.4,11,"AntonioGulli,SujitPal,PacktPublishing-ebooksAccount,2017-5-4,USD49.99",https://book.douban.com/subject/27036791/,https://img3.doubanio.com/view/subject/l/public/s29442546.jpg
"Django入门教程
[豆瓣阅读作品]",8.4,206,"〔美〕Django社区,2013-03-11,0.00元",https://read.douban.com/ebook/284513/?dcs=book-search,https://img3.doubanio.com/view/ark_article_cover/retina/public/284513.jpg?v=1395395652.0
"Expert Python Programming : Best practices for designing, coding, and distributing your Pyth",8.3,74,"TarekZiadé,PacktPublishing,2008-9-26,USD44.99",https://book.douban.com/subject/3285148/,https://img3.doubanio.com/view/subject/l/public/s29690103.jpg
Flask Web Development : Developing Web Applications with Python,8.3,102,"MiguelGrinberg,O'ReillyMedia,2014-5-25,USD24.99",https://book.douban.com/subject/25814739/,https://img1.doubanio.com/view/subject/l/public/s27205547.jpg
Effective Python : 59 Specific Ways to Write Better Python,8.3,58,"BrettSlatkin,Addison-WesleyProfessional,2015-3-8,USD39.99",https://book.douban.com/subject/26312313/,https://img3.doubanio.com/view/subject/l/public/s28008426.jpg
Python编程（第三版·英文影印版）,8.3,167,"MarkLutz,东南大学出版社,2006,138.00元",https://book.douban.com/subject/1915868/,https://img3.doubanio.com/view/subject/l/public/s2396946.jpg
Natural Language Processing with Python : Analyzing Text with the Natural Language Toolkit,8.3,142,"StevenBird,EwanKlein,EdwardLoper,O'ReillyMedia,2009-7-10,USD44.99",https://book.douban.com/subject/3696989/,https://img3.doubanio.com/view/subject/l/public/s3751041.jpg
趣学Python编程,8.3,74,"JasonBriggs,尹哲,人民邮电出版社,2014-3,45.00元",https://book.douban.com/subject/25837145/,https://img3.doubanio.com/view/subject/l/public/s29754755.jpg
Building Machine Learning Systems with Python,8.3,35,"WilliRichert,LuisPedroCoelho,PacktPublishing,2013-7-26,USD49.99",https://book.douban.com/subject/24669811/,https://img1.doubanio.com/view/subject/l/public/s27163799.jpg
Learn Python the Hard Way : 2nd Edition,8.3,117,"ZedShaw,ExampleProductManufacturer,2011",https://book.douban.com/subject/10486432/,https://img1.doubanio.com/view/subject/l/public/s7664108.jpg
"Python in a Nutshell, Second Edition : in a Nutshell",8.3,51,"AlexMartelli,O'ReillyMedia,2006-7-24,USD39.99",https://book.douban.com/subject/1845309/,https://img3.doubanio.com/view/subject/l/public/s4570424.jpg
"Test-Driven Development with Python : Obey the Testing Goat: Using Django, Selenium, and JavaScript",8.3,24,"HarryJ.W.Percival,O'ReillyMedia,2014-6-29,USD44.99",https://book.douban.com/subject/24089005/,https://img3.doubanio.com/view/subject/l/public/s27315134.jpg
Python学习手册 : （第3版）,8.2,848,"MarkLutz,侯靖,机械工业出版社,2009-8,89.00元",https://book.douban.com/subject/3948354/,https://img1.doubanio.com/view/subject/l/public/s3952568.jpg
Python入门经典 : 以解决计算问题为导向的Python编程实践,8.2,86,"(美)WilliamF.Punch,RichardEnbody,张敏,机械工业出版社,2012-8-1,79.00元",https://book.douban.com/subject/11610789/,https://img3.doubanio.com/view/subject/l/public/s11430346.jpg
"学习Python : Learning Python, Second Edition",8.2,127,"MarkLutz,DavidAscher,东南大学出版社,2005年6月,68.00元",https://book.douban.com/subject/1426816/,https://img3.doubanio.com/view/subject/l/public/s1436455.jpg
Dive Into Python,8.2,1105,"MarkPilgrim,Apress,2004-11-5,GBP31.49",https://book.douban.com/subject/1440658/,https://img3.doubanio.com/view/subject/l/public/s29694522.jpg
Python自然语言处理,8.2,164,"(英)伯德,(英)克莱因,(美)洛普,东南大学出版社,2010-6,64.00元",https://book.douban.com/subject/5336893/,https://img1.doubanio.com/view/subject/l/public/s6237088.jpg
Learning Python : Powerful Object-Oriented Programming,8.2,207,"MarkLutz,O'ReillyMedia,2009-10-9,USD54.99",https://book.douban.com/subject/3988517/,https://img1.doubanio.com/view/subject/l/public/s10347319.jpg
Python Pocket Reference : Python in Your Pocket,8.2,17,"MarkLutz,O'ReillyMedia,2009-10-15,USD14.99",https://book.douban.com/subject/4074478/,https://img3.doubanio.com/view/subject/l/public/s11104733.jpg
Python for Kids : A Playful Introduction to Programming,8.2,28,"JasonR.Briggs,NoStarchPress,2012-12-22,USD34.95",https://book.douban.com/subject/6962113/,https://img1.doubanio.com/view/subject/l/public/s24518778.jpg
Python数据分析实战,8.2,21,"【意】内利,杜春晓,人民邮电出版社,2016-8-1,CNY59.00",https://book.douban.com/subject/26854249/,https://img3.doubanio.com/view/subject/l/public/s29393076.jpg
Python高手之路 第3版,8.2,12,"JulienDanjou,王飞龙,人民邮电出版社,2016-11",https://book.douban.com/subject/26932642/,https://img3.doubanio.com/view/subject/l/public/s29302111.jpg
